,k_on,k_off,k_tx,k_deg
gene_0,3.1014307334170677,34.60073608937769,91.5543366972826,1.0
gene_1,11.61586403887558,0.12060576914263013,0.11514141072013279,1.0
gene_2,0.21334466365655946,0.3635193841079795,50.77366345030574,1.0
gene_3,0.2372049282201502,0.011369237749999593,3.8178705620911977,1.0
gene_4,0.8816724433628683,39.77990777525459,0.06701955410269708,1.0
gene_5,0.36737010032973866,0.2943988268028207,5.257843249741367,1.0
gene_6,1.6007268876157905,0.6421983933929217,0.779986572056419,1.0
gene_7,9.721134011314431,14.806458390144606,0.9106849273471788,1.0
gene_8,0.8298418880179236,0.41424791303807845,0.537088701068754,1.0
gene_9,15.148837826737639,2.2568040345558953,4.595292703552848,1.0
gene_10,9.334684294374924,27.709508010761084,0.14088160178248732,1.0
gene_11,0.24526246542868277,0.02389845415694487,8.073030688795795,1.0
gene_12,25.396249576977844,0.1568815726456824,52.70847322610139,1.0
gene_13,72.60414185057961,0.025075575553556984,0.5052002864680912,1.0
gene_14,0.1826952267496056,0.0963541924580563,0.23804097793217688,1.0
gene_15,0.06442596850587866,0.2724933594402703,1.3013977563124621,1.0
gene_16,10.113257362332106,0.2790637415545083,11.16663954345656,1.0
gene_17,12.098644332612883,0.5398477065317943,0.26687978786480365,1.0
gene_18,0.02807654029156714,0.07049932626411345,36.91430418081677,1.0
gene_19,0.11914673941974772,0.05426844961996871,2.5404026740057217,1.0
gene_20,0.07261802159180217,0.05266941478937119,29.293950654038607,1.0
gene_21,49.696079015107614,0.0810420699114789,0.051867250236363405,1.0
gene_22,0.027991669480315833,0.2238867235048826,5.447454835570886,1.0
gene_23,9.660645133763346,0.355355750398682,46.31140541456901,1.0
gene_24,0.034373220490290936,0.017785566896348668,33.10490948088795,1.0
gene_25,1.6010812620958401,4.243604384592971,0.010709095973639334,1.0
gene_26,30.002326343416783,0.02861368113672851,0.050056719991672154,1.0
gene_27,0.010269331977806476,1.6836874897659173,0.11083098495490824,1.0
gene_28,0.7687226329411465,37.55652798862812,74.1159343865317,1.0
gene_29,0.022759144306350895,0.03411557337387077,1.2763208548021083,1.0
gene_30,40.60070484903062,7.975702167590036,31.31136205841868,1.0
gene_31,6.236063006959983,0.42017515976871006,17.969708301780916,1.0
gene_32,86.13907158947792,0.19176768922246584,12.194753370218663,1.0
gene_33,53.44718445244996,2.943319988823714,1.000201114134579,1.0
gene_34,0.06885713305807213,0.516993582091228,71.37194656588967,1.0
gene_35,5.134724788954662,42.50572176210899,6.27028037655644,1.0
gene_36,30.113770703868305,0.6136745190043374,0.0460049705157851,1.0
gene_37,0.06808945069626542,2.649930450140645,51.05431345641637,1.0
gene_38,0.8061429566398702,0.170739200996739,90.65425393623347,1.0
gene_39,9.434869666832354,0.10693859665098221,0.03765870532897287,1.0
gene_40,0.07111033311558754,1.3833674221556218,31.40852392967129,1.0
gene_41,0.4929447938593049,21.63438638133993,5.07660344588912,1.0
gene_42,53.67861262657493,0.6040658663245843,0.08558272070753824,1.0
gene_43,0.6369296235455997,49.940634165427596,13.856494521694072,1.0
gene_44,0.04440076022162423,0.09458692030216463,7.336811083282482,1.0
gene_45,13.537686695299174,0.20044577120110224,0.20901737850203042,1.0
gene_46,0.03656597713953019,0.03278835359380472,3.7544830589845133,1.0
gene_47,0.06234131066576553,11.477795355619575,90.37530360757896,1.0
gene_48,0.012179508319880294,0.3850809038840879,0.23181399963204918,1.0
gene_49,4.531031341789314,1.7833274479629124,0.013096573220172833,1.0
gene_50,0.08525204375996617,1.1953368809633642,8.37668046767585,1.0
gene_51,1.4882219181862424,49.78441196431651,2.3582551139219765,1.0
gene_52,8.152525963952623,5.414186792547256,27.72502671929949,1.0
gene_53,0.04522903216235265,6.132414834766191,0.3831128806094658,1.0
gene_54,0.8393823458873065,11.311418458240087,97.6092782219783,1.0
gene_55,0.08330283718193694,31.179889113343894,34.13825117590421,1.0
gene_56,7.95008049020124,0.010528255441949118,0.015733977180999493,1.0
gene_57,88.93783139248664,8.148843693534372,1.1152371958639027,1.0
gene_58,24.971139569429386,0.05269956020261659,0.026301556520030914,1.0
gene_59,39.40901455497227,6.725306374057216,0.08271803133119235,1.0
gene_60,0.013734646647607885,9.103254992339966,0.01681729740255731,1.0
gene_61,0.8086950231444968,35.403734835636236,68.59816013905272,1.0
gene_62,0.13239343582027907,42.01575056278393,0.1486742493682279,1.0
gene_63,77.00681701190099,0.7657552420604751,0.6224820263537173,1.0
gene_64,0.10386865026030355,1.00758558279712,0.05859658433225654,1.0
gene_65,20.313694094014995,2.32185268371759,81.5169550167899,1.0
gene_66,0.1613127829990097,3.5462289164935346,1.3920012558549293,1.0
gene_67,0.013208564468344513,0.06811617019216396,0.3487660404803321,1.0
gene_68,28.30888125920533,0.6149840820146617,0.12508365054290282,1.0
gene_69,0.16418082387873537,0.44187286456838365,3.0347251750823907,1.0
gene_70,2.4960152548425043,6.483459314260659,21.921036628111743,1.0
gene_71,44.71927787403826,0.012940417459036593,10.433244184409217,1.0
gene_72,0.7744104856253291,0.8158589551663454,28.435181319956442,1.0
gene_73,0.24360151792948898,0.11703224859329965,23.661503488623875,1.0
gene_74,24.072227417715776,18.78408801104994,3.0752821237883254,1.0
gene_75,7.229950125742279,0.020290877200328836,0.08741026935920704,1.0
gene_76,0.012825287698250556,15.28688370224048,0.7209539535367321,1.0
gene_77,0.4181178893128873,4.684390738468112,0.024003756635959047,1.0
gene_78,1.317889786263505,71.28639393936486,0.06905849570917527,1.0
gene_79,4.2833855854690706,0.4493970633250728,1.9054357457118527,1.0
gene_80,0.2319059924083718,1.6680637091069868,38.03492062577496,1.0
gene_81,0.69057171101001,2.236864593635768,0.8597605511529671,1.0
gene_82,4.542239231890415,0.17756435847292185,71.35237789306295,1.0
gene_83,12.750766581928248,0.42411102094852915,7.109903094271606,1.0
gene_84,0.7923488117375808,54.28983972847801,0.08084120118243088,1.0
gene_85,0.5742311996963873,0.28756832955773065,0.012427062213883969,1.0
gene_86,0.2473537732532712,0.012209631521590946,2.9134910176958706,1.0
gene_87,0.1774802280469973,0.09017941349816701,0.9849432584014557,1.0
gene_88,39.254367750424315,0.08936227007694714,10.960990372335587,1.0
gene_89,4.004438681721741,0.02161262494748612,0.020524533860506275,1.0
gene_90,46.625931655198045,0.2589329078336145,0.20068350488762793,1.0
gene_91,3.6225903401088395,0.2192637353787163,0.7587335470828797,1.0
gene_92,0.010211297725835653,7.785318710692396,6.501629419638073,1.0
gene_93,0.14925736669040898,1.5034082210177673,1.3647297197948978,1.0
gene_94,65.04424581324906,0.01205261873409213,0.2200179084994253,1.0
gene_95,0.02880413258469434,0.014211321469675017,48.61321503196022,1.0
gene_96,1.7506030533749606,6.731738090660362,0.8941343093943845,1.0
gene_97,0.10990740676506362,0.5448260269682264,1.797827924469983,1.0
gene_98,19.853553644703865,0.5865097132075736,26.152497792350356,1.0
gene_99,0.8050874259701382,38.80792936472127,0.02394589583333454,1.0
gene_100,1.355331864268858,48.96269077799514,0.06496413540434112,1.0
gene_101,66.94877355654002,54.651171769312555,65.55849784782991,1.0
gene_102,0.011396881652316053,0.020823966181171917,0.01009924018933306,1.0
gene_103,0.021203344616175058,72.999204609608,25.714433658112767,1.0
gene_104,79.58353623523075,4.309290564835008,0.8589886378133003,1.0
gene_105,55.028621511081354,9.891873634435415,3.1567971649975157,1.0
gene_106,68.75644603771704,11.382118110942919,9.512229980477935,1.0
gene_107,1.8461166505633761,0.01160183741857251,0.4181537841551872,1.0
gene_108,0.037244587126014056,0.09272137206341043,4.4693783969083585,1.0
gene_109,0.3658348280870994,0.10872965678625865,0.2587354716449331,1.0
gene_110,5.587265727989647,3.491529426124817,2.9433156555112907,1.0
gene_111,0.011322864550687185,5.242565326825472,7.175335923854682,1.0
gene_112,9.923905240104872,14.7372589637405,0.06258971020005918,1.0
gene_113,72.94502889051007,0.05299123217725794,0.07887945796822887,1.0
gene_114,5.374362012099458,0.28940078930380364,9.951237340406509,1.0
gene_115,8.920489934538109,0.8078570090132114,0.9016840484187029,1.0
gene_116,0.16447095653908558,1.276191740764192,0.047656439776027695,1.0
gene_117,0.021574721734135157,0.16135261181517735,4.801186813937931,1.0
gene_118,21.414912491473267,0.20013870243542398,0.15249685599348356,1.0
gene_119,44.26633395078823,0.4474632279791389,0.28358710034956935,1.0
gene_120,0.011723734879417325,38.00927931224014,0.0511748383560944,1.0
gene_121,0.08033439457264151,45.786639439075856,3.7295124416933123,1.0
gene_122,2.9822471251784632,0.27902064366664375,0.427774201898094,1.0
gene_123,0.03007579021733003,66.6516631815112,6.160901524190951,1.0
gene_124,0.02424255805675675,1.6678480190663787,0.3044491385576322,1.0
gene_125,0.5728025697018427,9.73294241201116,0.06373692212781724,1.0
gene_126,1.0612240726877376,1.219457582811377,11.466637769112236,1.0
gene_127,0.31684162352631284,0.022336411448103513,2.3745605890501706,1.0
gene_128,0.6575359282527938,9.564600124365215,91.13131069799479,1.0
gene_129,0.04508253440441315,0.01445154990194602,0.05822674686658094,1.0
gene_130,0.010872834552561652,0.03573790642444825,39.19151000704454,1.0
gene_131,0.012173580872387698,24.4953942714178,2.435247670330484,1.0
gene_132,0.010965618586512547,0.12617553368953746,21.93135944530014,1.0
gene_133,0.0321072506951389,29.178632075780378,0.015294841831418573,1.0
gene_134,20.254443928717222,0.41263791233997715,0.37238068840711114,1.0
gene_135,1.1209248769809357,44.21277569689252,1.148933854849297,1.0
