,k_tx_1,k_tx_2,k_deg_1,k_deg_2,k_reg
Gene-pair-0,0.004898279228014778,0.062089457731845085,0.11159833021680512,0.3312683403527052,3.312683403527052
Gene-pair-1,7.535953528787457,0.13688110917889582,0.2603965007183506,0.14019456665554675,1.4019456665554675
Gene-pair-2,0.8595727403976882,0.06868670571869558,0.16014239934964275,0.3298461209600635,3.298461209600635
Gene-pair-3,6.468140424697815,1.0250098766805364,0.5299903876295174,0.4067078054171802,4.067078054171802
Gene-pair-4,2.9735347611335836,60.87492954784536,0.15096430879003006,0.11401299486050978,1.1401299486050978
Gene-pair-5,0.29919827491455453,0.39957679235239685,0.2140357569766445,0.7345748332701573,7.3457483327015725
Gene-pair-6,31.67412326291779,2.906067660847622,0.44503371344974246,0.2835049871228055,2.8350498712280547
Gene-pair-7,58.02714947714437,52.282775249293884,0.9563664554144723,0.11486411965123809,1.1486411965123808
Gene-pair-8,0.03324010679890666,9.392597910423174,0.5004949786608384,0.18029168938302528,1.8029168938302529
Gene-pair-9,10.298402408740978,0.002543921164470535,0.47580585999606284,0.1281981374189145,1.281981374189145
Gene-pair-10,15.559465604944652,0.012773244889473272,0.1731392674477036,0.1860202925296841,1.860202925296841
Gene-pair-11,33.5630564527908,0.01359742495312439,0.24436719621559538,0.7711244583210414,7.711244583210414
Gene-pair-12,7.62573417535097,0.8642119362649753,0.36104449020837626,0.23700815268241185,2.3700815268241184
Gene-pair-13,3.020242395838277,0.1701536672904125,0.16338770699508123,0.7529470458810824,7.529470458810824
Gene-pair-14,1.4919257004462267,11.569275738308786,0.4076035618398422,0.10655616894033265,1.0655616894033266
Gene-pair-15,1.678525354963679,0.4407032643475578,0.3416984383093183,0.7311153668732647,7.311153668732647
Gene-pair-16,0.007216855403569668,11.710880370646827,0.7923188931144385,0.17219729770914174,1.7219729770914174
Gene-pair-17,0.0040683908053127105,31.608343211981747,0.6065580394506306,0.6906845008116581,6.906845008116581
Gene-pair-18,0.005620766717600995,1.9327436197548367,0.12900092030141183,0.26594373200355903,2.6594373200355905
Gene-pair-19,4.421003148639753,0.4311833621065134,0.18607606993264622,0.14350525544993728,1.4350525544993729
Gene-pair-20,0.1494543640162334,1.7969071802410916,0.1078211313676582,0.8262461851514413,8.262461851514413
Gene-pair-21,0.007036694414736938,0.004523691647008257,0.13214626548672145,0.5205592022034112,5.2055920220341125
Gene-pair-22,11.162025753462993,0.027382585158268632,0.22461142705569873,0.7296305040797786,7.296305040797786
Gene-pair-23,1.5769955220526959,13.715981602803206,0.3971335295235366,0.6846743015367597,6.846743015367597
Gene-pair-24,2.212856780231422,0.010377025672446881,0.44256424826312163,0.4725032933635632,4.7250329336356325
Gene-pair-25,0.278377384627345,0.0033618691868199657,0.3303364874829218,0.8120798962529315,8.120798962529316
Gene-pair-26,0.026272739171653108,0.07101872346812364,0.2568864908241961,0.3459897180919181,3.4598971809191807
Gene-pair-27,4.624282408955598,6.59741232832192,0.33202804874809727,0.22464787363174665,2.2464787363174663
Gene-pair-28,0.04544992464363095,0.0026783395793467356,0.3714365754614312,0.7780248647030025,7.7802486470300245
Gene-pair-29,8.610533107610458,0.24653309021964273,0.5868435867626056,0.216812902789882,2.16812902789882
Gene-pair-30,2.696262322748566,0.0026707271414572534,0.523157266820413,0.18793850368823592,1.8793850368823593
Gene-pair-31,0.0247600536795656,0.004418894344040982,0.8071063703112957,0.3121523694945822,3.121523694945822
Gene-pair-32,1.1457094506693697,2.879757386867534,0.7910501688315219,0.20070857505604714,2.0070857505604716
Gene-pair-33,0.14486034769610318,17.179669908236,0.18498474312210245,0.19019617863791868,1.901961786379187
Gene-pair-34,0.008829936706307584,0.005470240028983311,0.22531855236144735,0.5755708719653936,5.755708719653936
Gene-pair-35,0.0028883581862797097,0.04550597962566134,0.9022992973749475,0.42534355391438705,4.2534355391438705
Gene-pair-36,5.9223759958655116,1.5007494647580468,0.25612771426127723,0.1997864867909815,1.997864867909815
Gene-pair-37,17.413646237319107,0.006844512418290448,0.1259995166999435,0.15386897772891409,1.5386897772891408
Gene-pair-38,0.28916902250831295,0.013991690747093895,0.7679635436859469,0.24058645398356468,2.4058645398356466
Gene-pair-39,0.3645288408630378,0.008273645724925258,0.32337160281355537,0.20957262804658222,2.095726280465822
Gene-pair-40,1.2719552590571936,0.23270949599345617,0.1480469411924959,0.605123977431458,6.051239774314579
Gene-pair-41,0.02065066688495834,3.562202333111207,0.9897172232236943,0.37632542488769394,3.7632542488769394
Gene-pair-42,0.23741294610732377,0.006621096902481347,0.28006924000844907,0.2834679723191972,2.8346797231919716
Gene-pair-43,43.39544175658756,0.022006384945538023,0.1761877265160822,0.9744655387731339,9.744655387731338
Gene-pair-44,0.0022653867003775536,14.724581682822816,0.14453081885179492,0.48746732081967187,4.874673208196719
Gene-pair-45,4.4573774441009935,0.00805205539514025,0.20705115773109242,0.3996284796459052,3.9962847964590518
Gene-pair-46,0.7547724886903708,0.042559693242962056,0.9893944636959686,0.13985042832857092,1.398504283285709
Gene-pair-47,0.007842340394151366,55.3831877382654,0.21456096345380235,0.21375746913926202,2.1375746913926204
Gene-pair-48,0.036393431597098895,0.08149517956733981,0.5421515114223455,0.12377872288340519,1.237787228834052
Gene-pair-49,7.047199041492353,0.05191372311357106,0.8479734750867116,0.6275176335391721,6.275176335391722
Gene-pair-50,0.00388972721984268,0.4371574678366017,0.1443425262173768,0.3187365770925203,3.187365770925203
Gene-pair-51,0.031784503684306055,5.0418247776200715,0.26821760531335587,0.2654291371994289,2.654291371994289
Gene-pair-52,0.051760662008366765,0.02162887788171347,0.10428013106707214,0.5037574421217098,5.037574421217098
Gene-pair-53,0.0025125758384595995,0.994200846261461,0.35363177914916305,0.2721659910940115,2.721659910940115
Gene-pair-54,0.004183068997929844,6.11805358146144,0.8729054155463833,0.26975814713428414,2.6975814713428417
Gene-pair-55,0.04369194376115228,0.6508671461937816,0.9612441783183897,0.3852282101676008,3.852282101676008
Gene-pair-56,0.011113100545249813,0.4127435498824986,0.24692524554483433,0.2338772767180013,2.338772767180013
Gene-pair-57,0.08254230739046536,40.135471881326495,0.26017726408184183,0.14408168175903238,1.4408168175903238
Gene-pair-58,13.854513249761972,19.210080593695128,0.7474708487555812,0.28185384318455825,2.8185384318455826
Gene-pair-59,0.0024527859495337115,0.6088968938067598,0.4695298721945147,0.17582471519707565,1.7582471519707565
Gene-pair-60,0.051179501329216885,0.375004676266637,0.15823052821275765,0.1737944688253747,1.737944688253747
Gene-pair-61,2.083975568727983,0.007132639580600205,0.16680346699867193,0.2996041065593915,2.996041065593915
Gene-pair-62,0.01056803013858352,8.374340428366843,0.3071472868093553,0.239315653345159,2.39315653345159
Gene-pair-63,0.009734494214544148,5.344853315945919,0.1754955298426992,0.21802454260234103,2.18024542602341
Gene-pair-64,0.01777390858120897,3.82662399499502,0.2922261285497052,0.43548742619739744,4.354874261973975
Gene-pair-65,31.056276075762476,10.70933937786249,0.10411679728005324,0.1634920546856578,1.634920546856578
Gene-pair-66,0.027439092794997774,27.04516226739537,0.6338260306461962,0.36343944620819824,3.6343944620819824
Gene-pair-67,0.020211601061090618,0.22141232316659742,0.1854104417990995,0.6350131391745228,6.3501313917452284
Gene-pair-68,0.07516897368398319,14.59873984081682,0.16032242899556,0.19211348063231293,1.9211348063231293
Gene-pair-69,0.009477952191466275,0.012521603536576255,0.5861999598704221,0.10188026196525021,1.0188026196525022
Gene-pair-70,1.4167247400637992,15.992316224458863,0.8431953856960455,0.3465004743535654,3.465004743535654
Gene-pair-71,20.8134105725017,13.199072744230284,0.1556242855791718,0.7124522043625386,7.124522043625387
Gene-pair-72,19.085212378135246,0.002075015549451678,0.42014045752414453,0.35531094082828424,3.5531094082828423
Gene-pair-73,0.010652622327745075,0.5561665762700283,0.8878599162386573,0.919778081309756,9.19778081309756
Gene-pair-74,0.023231524179495713,0.19089759653339244,0.13647829120748844,0.7930733729528467,7.930733729528468
Gene-pair-75,0.4695779071125216,0.0024701651016954553,0.47100711087994196,0.5779975990760565,5.7799759907605655
Gene-pair-76,1.5493769979225556,0.16384894753767726,0.22484102580840223,0.16374024887867672,1.6374024887867673
Gene-pair-77,0.004464054849610281,0.07754090668328245,0.16260534529152537,0.12409181402838014,1.2409181402838014
Gene-pair-78,0.622105937379383,0.47573951355567484,0.1865943819109568,0.4811353325691454,4.811353325691455
Gene-pair-79,0.7299462236957758,0.00750224339926523,0.132039011810872,0.23074812852734797,2.3074812852734796
Gene-pair-80,0.00523860810679952,0.0037623566599814906,0.16004525934693198,0.11633187309318027,1.1633187309318027
Gene-pair-81,9.752238524161648,1.229135968304244,0.42441277320392434,0.1972974861875201,1.972974861875201
Gene-pair-82,0.07925268605148297,0.14335238728276345,0.5061718471829049,0.8487096878911874,8.487096878911874
Gene-pair-83,0.003320456333716496,0.017041180300826717,0.37731701649314364,0.7620665286586649,7.620665286586648
Gene-pair-84,0.31109155253339565,0.01764795257657645,0.2018278399365056,0.17255961358111171,1.7255961358111171
Gene-pair-85,0.011597774430342725,37.80545253873715,0.3177232195735959,0.16276391209118402,1.6276391209118402
Gene-pair-86,12.35954248056263,10.924524287392122,0.8552954262342791,0.11092235036383466,1.1092235036383467
Gene-pair-87,2.7459363631080382,6.417464617114591,0.5236634913692014,0.15226716255122844,1.5226716255122843
Gene-pair-88,3.1686197438936796,10.814431717390482,0.22267410325498874,0.38324285727234614,3.8324285727234613
Gene-pair-89,0.0019979617470827567,0.0026471133342037593,0.21931078973676935,0.1627208777514094,1.627208777514094
Gene-pair-90,0.05412116883871172,0.6695230280559422,0.5707180830835838,0.32208460398163713,3.2208460398163714
Gene-pair-91,0.010272853797415904,0.0020523031545455215,0.9266271535808898,0.7200100293458104,7.200100293458104
Gene-pair-92,18.98662935283738,0.005653611908105401,0.1202460678973312,0.18029125257583264,1.8029125257583265
Gene-pair-93,1.0365867409269576,0.025401000352589465,0.6107371902987714,0.3648218357414761,3.648218357414761
Gene-pair-94,0.0021089495468909147,7.517826624074785,0.11028657232065833,0.15051283052088085,1.5051283052088085
Gene-pair-95,0.19470639002293075,0.0036611401438579527,0.4251028221910398,0.16616926922048067,1.6616926922048068
Gene-pair-96,18.95371867998601,5.752950977266506,0.8534200810361778,0.4327783835013676,4.327783835013676
Gene-pair-97,2.456473923224367,2.0881442017685825,0.6187298189349153,0.1357347191557885,1.357347191557885
Gene-pair-98,0.013415856473215292,0.010544668518911336,0.11090061312527749,0.1535192519406462,1.535192519406462
Gene-pair-99,6.719190430955728,15.308145075674215,0.520353992805154,0.7035793480628899,7.035793480628899
