,k_on,k_off,k_tx,k_deg
gene_0,7.858682031186581,37.61530858289948,148.97817549824413,1.0
gene_1,12.266503302424033,0.01,0.1029260582902551,1.0
gene_2,0.19823653668180308,0.10361585037252291,36.61678551809407,1.0
gene_3,0.07028900427246412,0.013193591673516344,4.006153834080176,1.0
gene_4,4.524453133602961,74.23091227098355,0.06202486873049811,1.0
gene_5,0.10591197055007734,0.2880296520296755,0.6240144015106859,1.0
gene_6,0.28818619109353727,0.28654183729026894,0.2362308044427397,1.0
gene_7,1.4087317769863006,20.207850977341767,3.4620301637651254,1.0
gene_8,0.01,0.34285700676025366,1.0455845279820286,1.0
gene_9,15.111136516428266,3.328723498606916,5.138466047257587,1.0
gene_10,3.804905667251086,58.92269721443141,0.01,1.0
gene_11,0.01,0.01601505200875228,2.2502517979145154,1.0
gene_12,2.931332843967038,0.22765397671185322,45.14517522931444,1.0
gene_13,81.14191903551138,0.028840242009263252,0.7071342992973288,1.0
gene_14,0.18020152840788264,0.08035541399017072,0.27721822060558193,1.0
gene_15,0.02940756679492127,0.19283349451297419,2.9381551828063763,1.0
gene_16,5.526361818977791,0.10422669588217376,14.683905445598203,1.0
gene_17,5.3225238370845425,0.6733607221178369,0.604186798506942,1.0
gene_18,0.027189742964658144,0.08226272478183065,13.64083997404438,1.0
gene_19,0.1472838715033341,0.0313850565484943,5.1347046337363995,1.0
gene_20,0.06225483277547058,0.02842558075509479,69.47066391097684,1.0
gene_21,42.66207241884996,0.056744193871277715,0.020250117131729785,1.0
gene_22,0.024166606732009054,0.1856248466553444,5.424338353866972,1.0
gene_23,19.72935251820476,0.09981390306943033,30.21227553394568,1.0
gene_24,0.01,0.14303335671286357,30.54948407718507,1.0
gene_25,0.5301199198232933,4.2059577526393355,0.01,1.0
gene_26,97.77260989130416,0.01,0.08552090946893069,1.0
gene_27,0.01025972418814714,2.3344561507786747,0.01,1.0
gene_28,0.9349252786843277,70.85886917634035,57.472233226264294,1.0
gene_29,0.09250354875420398,0.030557205755528595,1.073134957350023,1.0
gene_30,34.01670687781698,10.865370365341922,34.05126721308655,1.0
gene_31,9.143990595232733,0.011035494052792388,19.715465048967985,1.0
gene_32,200.00583054887332,0.18378213815099426,10.284578518703407,1.0
gene_33,38.478183468576134,2.8311053745195123,1.0822996724749454,1.0
gene_34,0.027579465781595577,0.6773294854762995,116.99285442615583,1.0
gene_35,3.424107565395216,20.089492911446726,21.337107398414652,1.0
gene_36,28.289352126123156,0.6974514263626082,0.05576342772608829,1.0
gene_37,0.027923415353955098,9.67434368334504,33.4815492299227,1.0
gene_38,2.5069740153010756,0.2904309632506168,55.211626619233236,1.0
gene_39,2.3205897933863113,0.07251392501719024,0.20033970755792652,1.0
gene_40,0.2445783699568645,0.7912328535857669,23.564585688653445,1.0
gene_41,0.2849154258175657,28.190708859491092,10.95989319736892,1.0
gene_42,250.2961844283512,0.9246988951713389,0.08158048573607384,1.0
gene_43,0.7134186826601514,60.02149963525304,8.927225717007506,1.0
gene_44,0.04363003788718301,0.05170334166483764,2.1209487348386373,1.0
gene_45,7.0387682779856835,0.34114300816599574,0.09366608446142619,1.0
gene_46,0.012224793058366094,0.027640197873623554,7.064998008133252,1.0
gene_47,0.10866091509239399,9.41295303247773,43.514631138023816,1.0
gene_48,0.01,0.27269378595702565,0.3664001913880438,1.0
gene_49,2.693666568522689,1.6726939167805945,0.011647936636279234,1.0
gene_50,0.043973561923607435,1.0399088967608958,7.9199451799417835,1.0
gene_51,5.1685109280143,5.719031687640752,2.664585648760423,1.0
gene_52,10.883624889019396,6.679988426927913,18.633272048509816,1.0
gene_53,0.05204384916210226,8.10254011019595,0.6151619703856628,1.0
gene_54,1.1257635599633675,15.337616486279945,54.71218924880079,1.0
gene_55,0.059568144035959524,18.115711637189204,76.39182306660952,1.0
gene_56,3.6710970310113575,0.012708015375893542,0.02724211408422214,1.0
gene_57,153.75416655376577,6.115483251497272,2.0541850920218434,1.0
gene_58,23.287845573312364,0.010062235987341754,0.05384446474762285,1.0
gene_59,6.417840442245392,6.146395181124996,0.0916266565618107,1.0
gene_60,0.011078020866091035,7.920614526460987,0.010012211368601014,1.0
gene_61,0.4633996825155547,46.60804483864943,105.61910158507837,1.0
gene_62,0.08017871615920935,59.56543956921765,0.18536795136422343,1.0
gene_63,120.2091233484131,1.4898791377921432,0.9323407390528937,1.0
gene_64,0.09777112288222112,0.8373266217545456,0.0851921852730002,1.0
